asin,title,author,rating,reviews,url,description
9365896193,Data Preparation and Analysis: An easy approach to master data science (English Edition),by Dr Pooja Sharma | 11 August 2025,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDM2Njg4MDI3OTY0ODQyOjE3NzYxODQ5MDA6c3BfYXRmOjMwMDY5NjIyODk4NjczMjo6MDo6&url=%2FData-Preparation-Analysis-approach-science%2Fdp%2F9365896193%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds%26dib_tag%3Dse%26keywords%3Ddata%2Bscience%2Bbook%26qid%3D1776184900%26sr%3D8-1-spons%26aref%3DrOagqjlHSG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=rOagqjlHSG&sp_cr=ZAZ,"Data science is an evolving field, and the ability to effectively prepare and analyze data is a critical skill for any aspiring professional. This book serves as a comprehensive introduction to the foundational concepts and tools of data science, making it ideal for beginners and aspiring data professionals.

This book provides a structured and comprehensive learning path, beginning with a broad introduction to data science, its applications, and fundamental analysis methods. You will then explore the core Python libraries for data manipulation, NumPy for efficient numerical operations, and Pandas for powerful data structuring and transformation. The book dedicates significant focus to real-world data challenges, walking you through the crucial steps of data gathering, preparation, and cleaning; addressing issues like scalability, missing data, and inconsistencies.

The book concludes with three real-world projects that apply the concepts in practical settings, making you proficient in the entire end-to-end data preparation and analysis pipeline. You will have a solid command of essential tools and techniques, empowering you to confidently tackle and derive meaningful insights from diverse datasets in any professional setting.

WHAT YOU WILL LEARN

● Implement ML models using NumPy, Pandas, Matplotlib, or scikit-learn.

● Gain a solid foundation in data science, principles, algorithms, and methodologies.

● Learn to frame real-world problems as ML tasks.

● Implement data cleaning for consistency and missing data.

● Conduct exploratory data analysis with descriptive statistics.

● Uncover data patterns using clustering and association techniques.

● Design and create effective time series visualizations.

WHO THIS BOOK IS FOR

This book is ideal for students, programmers, and software engineers who want to learn data science from scratch. It assumes basic programming proficiency, but no prior data science knowledge is required to follow the comprehensive, hands-on curriculum."
0367676273,Data Science and Innovations for Intelligent Systems: Computational Excellence and Society 5.0 (Demystifying Technologies for Computational Excellence: Moving Towards Society 5.0),"by Kavita Taneja , Harmunish Taneja, et al. | 1 October 2021",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDM2Njg4MDI3OTY0ODQyOjE3NzYxODQ5MDA6c3BfYXRmOjMwMDg0OTc0OTY2OTMzMjo6MDo6&url=%2FData-Science-Innovations-Intelligent-Systems%2Fdp%2F0367676273%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds%26dib_tag%3Dse%26keywords%3Ddata%2Bscience%2Bbook%26qid%3D1776184900%26sr%3D8-2-spons%26aref%3Diza9WA19EW%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=iza9WA19EW&sp_cr=ZAZ,"Data science is an emerging field and innovations in it need to be explored for the success of society 5.0. This book not only focuses on the practical applications of data science to achieve computational excellence, but also digs deep into the issues and implications of intelligent systems.

This book highlights innovations in data science to achieve computational excellence that can optimize performance of smart applications. The book focuses on methodologies, framework, design issues, tools, architectures, and technologies necessary to develop and understand data science and its emerging applications in the present era.

Data Science and Innovations for Intelligent Systems: Computational Excellence and Society 5.0 is useful for the research community, start-up entrepreneurs, academicians, data-centered industries, and professeurs who are interested in exploring innovations in varied applications and the areas of data science."
3031083318,Advances and Innovations in Statistics and Data Science (ICSA Book Series in Statistics),"by Wenqing He, Liqun Wang, et al. | 11 November 2023",,,https://www.amazon.in/Advances-Innovations-Statistics-Data-Science/dp/3031083318/ref=sr_1_3?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-3,"This book highlights selected papers from the 4th ICSA-Canada Chapter Symposium, as well as invited articles from established researchers in the areas of statistics and data science. It covers a variety of topics, including methodology development in data science, such as methodology in the analysis of high dimensional data, feature screening in ultra-high dimensional data and natural language ranking; statistical analysis challenges in sampling, multivariate survival models and contaminated data, as well as applications of statistical methods. With this book, readers can make use of frontier research methods to tackle their problems in research, education, training and consultation."
9352138325,"Data Science From Scratch: First Principles with Python, Second Edition (Greyscale Indian Edition)",by Joel Grus | 5 May 2019,4.4 out of 5 stars,(967),https://www.amazon.in/Data-Science-Scratch-Principles-Python/dp/9352138325/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-4,"to really learn data science, you should not only master the tools—data Science libraries, frameworks, modules, and toolkits—but also understand the ideas and principles underlying them. Updated for Python 3.6, this second edition of data Science from scratch shows you how these tools and algorithms work by implementing them from scratch.
if you have an Aptitude for Mathematics and some programming skills, author Joel grus will help you get comfortable with the math and statistics at the core of data science, and with the hacking skills you need to get started as a data scientist. Packed with new material on deep learning, statistics, and natural language processing, this updated book shows you how to find the gems in today’s messy glut of data.

Learn the basics of linear algebra, statistics, and Probability how and when they're used in data science
Collect, explore, clean, munge, and manipulate data
Dive into the fundamentals of machine learning
Implement models such as K-Nearest neighbors, naïve Bayes, linear and logistic regression, decision trees, neural networks, and clustering
Explore recommended systems, natural language processing, network analysis, produce, and databases
."
3031858697,"Data Science, Classification and Artificial Intelligence for Modeling Decision Making (Studies in Classification, Data Analysis, and Knowledge Organization)","by Javier Trejos, Theodore Chadjipadelis, et al. | 20 April 2025",,,https://www.amazon.in/Classification-Artificial-Intelligence-Modeling-Decision/dp/3031858697/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-5,"This book gathers selected and peer-reviewed contributions presented at the 18th Conference of the International Federation of Classification Societies (IFCS 2024), held in San José, Costa Rica, July 15–19, 2024. Covering a wide range of topics, it describes modern methods and real-world applications in data science, classification, and artificial intelligence related to modeling decision making.

Numerous novel techniques and innovative applications are investigated, such as anomaly detection in public procurement processes, multivariate functional data clustering, air pollution prediction, benchmark generation for probabilistic planning, recommendation systems based on symbolic data analysis, and methods for clustering mixed-type data. Advanced statistical concepts are explored, including Vapnik-Chervonenkis dimensionality, Riemannian statistics, hypothesis testing for interval-valued data, and mixed models. Furthermore, machine learning techniques are applied to predict soil bacterial and fungal communities, classify electoral behavior and political competition, and assess corrosion degradation in mining pipelines.

The diversity of topics discussed in this collection reflects the ongoing advancement and interdisciplinary nature of statistical and data science research, as well as its application across various fields and sectors. These studies contribute to the development of robust methodologies and efficient computational tools to address complex challenges in the era of big data.

The book is intended for researchers and practitioners seeking the latest developments and applications in the field of data science and classification."
B0FY6MQKZT,"Data Science Class 10 Academic Course Material, Digital Learning Resource with Interactive Node Visualization for Higher Education CBSE (Data Science Academic Series)",by Tovira | 1 January 2023,,,https://www.amazon.in/Academic-Material-Interactive-Visualization-Education/dp/B0FY6MQKZT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-6,"Dive into the world of Data Science with this comprehensive Grade X academic course material from Lovira. This digital learning resource features cutting-edge interactive node visualisation technology that brings complex concepts to life. The course material is thoughtfully designed to make advanced data science concepts accessible and engaging for higher education students. Through its innovative approach, students can explore data structures, algorithms, and analytical methodologies in a visually intuitive manner. The interactive elements help learners understand the interconnections between different data science concepts, making abstract theories more concrete and practical. Perfect for both classroom settings and self-paced learning, this resource provides a robust foundation in modern data science principles. The visual node system allows students to track their progress and understand relationships between various concepts, creating a more effective learning experience."
9355422741,"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics (Grayscale Indian Edition)",by Thomas Nield | 1 June 2022,4.5 out of 5 stars,(60),https://www.amazon.in/Essential-Math-Data-Science-Fundamental/dp/9355422741/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-7,"Disclaimer

Shroff Publishers do not endorse the preview pages of kindle linked to our ISBNs. All Indian Reprints of O'Reilly are Printed in Grayscale.

Master the math needed to excel in data science, machine learning, and statistics. In this book author Thomas Nield guides you through areas like calculus, probability, linear algebra, and statistics and how they apply to techniques like linear regression, logistic regression, and neural networks. Along the way you'll also gain practical insights into the state of data science and how to use those insights to maximize your career.

Learn how to:

Use Python code and libraries like SymPy, NumPy, and scikit-learn to explore essential mathematical concepts like calculus, linear algebra, statistics, and machine learning
Understand techniques like linear regression, logistic regression, and neural networks in plain English, with minimal mathematical notation and jargon
Perform descriptive statistics and hypothesis testing on a dataset to interpret p-values and statistical significance
Manipulate vectors and matrices and perform matrix decomposition
Integrate and build upon incremental knowledge of calculus, probability, statistics, and linear algebra, and apply it to regression models including neural networks
Navigate practically through a data science career and avoid common pitfalls, assumptions, and biases while tuning your skill set to stand out in the job market"
9364448774,Data Science and Machine Learning Using Python | 2nd Edition | Reema Thareja,by Reema Thareja | 1 November 2025,3.8 out of 5 stars,(4),https://www.amazon.in/Science-Machine-Learning-Python-Thareja/dp/9364448774/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-8,"Data Science and Machine Learning Using Python, introduces Python programming concepts tailored for data science and machine learning, empowering readers to solve real-world problems effectively. Written with the growing interest and applications of data science in mind, this book is ideal for undergraduate students and aspiring professionals. Featuring programming examples, and hands-on exercises, it bridges the foundational knowledge with advanced techniques, ensuring a practical and application based learning experience."
9369144013,GATE 2027 : Data Science & Artificial Intelligence- Complete Guide | 2600+ MCQs | Solved Papers 2024–2026,by G.K. Publications (P) Ltd. | 23 March 2026,5.0 out of 5 stars,(9),https://www.amazon.in/GATE-2027-Artificial-Intelligence-2024-2026/dp/9369144013/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-9,"Your GATE 2027 success starts here — with a prep system built to deliver results. This comprehensive guide gives you everything you need to crack GATE 2027 Data Science & Artificial Intelligence in one place. Master core concepts with structured theory, sharpen your problem-solving with 2600+ exam-pattern questions, and test yourself under real exam conditions with full-length mock tests.
WHAT'S INSIDE: -

2600+ Questions (MCQs, NTQs & MSQs) — Fully aligned to the latest GATE 2027 syllabus across all DS & AI topics
3 Full-Length Mock Tests — Simulated GATE exams with detailed solutions to build speed, accuracy & exam temperament
GATE Papers 2024–2026 (Fully Solved) — Study the most recent papers with step-by-step explanations; GATE 2017–2023 available online (access details inside)
Chapter-End Practice Exercises — Topic-specific questions after every chapter to reinforce concepts and close knowledge gaps –
Latest Syllabus Coverage — 100% aligned to official GATE 2027 CE syllabus including Engineering Mathematics & General Aptitude Stop preparing. Start winning. Whether you're targeting a top PSU, IIT M.Tech admission, or a high GATE score — this guide gives you the structure, practice, and confidence to get there."
B0FYD5BDRV,"Data Science Textbook for Class 12, Academic Educational Book with Digital Technology Theme CBSE (Academic Data Science Series)",by Tovira | 1 January 2023,,,https://www.amazon.in/Science-Textbook-Academic-Educational-Technology/dp/B0FYD5BDRV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FrY15I3-sGdWOYj1_-4ongjsFIXjn1-TwOkEk2Ont2IlGQ_Jr02gJGyW9u0P4zQZEK8RJws-A3fjnweV1phpYexMgPhxCCpFDdjvB1Htx4T1dKxxshmW-8OnQ51vgdWUHrG6UTTUhJgaJcgehij2QSNHG_g0x64RKJCwJ5dkz8Hf7qzJSREp7-P8xafnv0qgKivqb96Ru4UL4W7EMGvYxIug3JDKhna37-sv1RmQZWY.j5DpIA1U7OJLA72GLISbig2wdem1QPEgbMmj23GDeds&dib_tag=se&keywords=data+science+book&qid=1776184900&sr=8-10,"Dive into the fascinating world of Data Science with this comprehensive Grade XII textbook. Designed for senior secondary students, this academic resource bridges theoretical concepts with practical applications in the digital age. The curriculum covers essential topics in data analysis, statistical methods, and modern computational techniques. With clear explanations and visual aids, including detailed diagrams of data structures and algorithmic workflows, students will grasp complex concepts with ease. The book incorporates real-world examples and case studies to demonstrate the practical applications of data science in various industries. Perfect for both classroom learning and self-study, this textbook helps students develop critical analytical skills needed for higher education and future careers in technology. The content aligns with current educational standards and includes practice problems, chapter summaries, and review questions to reinforce learning. Whether you're interested in pursuing data analytics, machine learning, or general computer science, this textbook provides a solid foundation in the principles of data science."
